date,year,month,avail_auction_slots,booked_auction_slots,over80beam_count,under80beam_count,neopnmx_count,super_count,regular_count,arrivals_dailyavg,transits_dailyavg,transit_count_total
7/1/2006,2006,7,,,298,769,0,0,,34.48,34.42,1067
8/1/2006,2006,8,,,299,768,0,0,,34.48,34.42,1067
9/1/2006,2006,9,,,281,728,0,0,,33.9,33.64,1009
10/1/2006,2006,10,,,310,781,0,0,,34.81,35.19,1091
11/1/2006,2006,11,,,307,766,0,0,,35.63,35.77,1073
12/1/2006,2006,12,,,355,797,0,0,,37.1,37.16,1152
1/1/2007,2007,1,,,405,795,0,0,,38.06,38.71,1200
2/1/2007,2007,2,,,391,705,0,0,,39.5,39.14,1096
3/1/2007,2007,3,,,446,798,0,0,,39.74,40.13,1244
4/1/2007,2007,4,,,389,753,0,0,,38.63,38.07,1142
5/1/2007,2007,5,,,364,793,0,0,,36.32,37.32,1157
5/1/2007,2007,5,,,364,793,0,0,,36.32,37.32,1157
5/1/2007,2007,5,,,364,793,0,0,,36.32,37.32,1157
5/1/2007,2007,5,,,364,793,0,0,,36.32,37.32,1157
5/1/2007,2007,5,,,364,793,0,0,,36.32,37.32,1157
5/1/2007,2007,5,,,364,793,0,0,,36.32,37.32,1157
5/1/2007,2007,5,,,364,793,0,0,,36.32,37.32,1157
5/1/2007,2007,5,,,364,793,0,0,,36.32,37.32,1157
6/1/2007,2007,6,,,327,706,0,0,,34.73,34.43,1033
7/1/2007,2007,7,,,314,767,0,0,,34.9,34.87,1081
8/1/2007,2007,8,,,346,739,0,0,,34.64,35,1085
9/1/2007,2007,9,,,323,698,0,0,,33.97,34.03,1021
10/1/2007,2007,10,,,,,0,645,457,35.45,35.55,1102
11/1/2007,2007,11,,,,,0,621,422,35.4,34.77,1043
12/1/2007,2007,12,,,,,0,632,492,35.87,36.26,1124
1/1/2008,2008,1,,,,,0,647,524,37.32,37.77,1171
2/1/2008,2008,2,,,,,0,599,470,38.69,36.86,1069
3/1/2008,2008,3,,,,,0,623,590,39,39.13,1213
4/1/2008,2008,4,,,,,0,602,572,38.47,39.13,1174
5/1/2008,2008,5,,,,,0,642,520,35.84,37.48,1162
6/1/2008,2008,6,,,,,0,597,451,35.5,34.93,1048
7/1/2008,2008,7,,,,,0,622,484,34.09,35.68,1106
8/1/2008,2008,8,,,,,0,619,460,34.94,34.81,1079
9/1/2008,2008,9,,,,,0,578,426,33.83,33.47,1004
10/1/2008,2008,10,,,,,0,641,442,34.06,34.94,1083
11/1/2008,2008,11,,,,,0,599,427,35.23,34.2,1026
12/1/2008,2008,12,,,,,0,634,490,34.61,36.26,1124
1/1/2009,2009,1,,,,,0,620,526,36.61,36.97,1146
2/1/2009,2009,2,,,,,0,568,491,38.57,37.82,1059
3/1/2009,2009,3,,,,,0,625,576,38.32,38.94,1201
4/1/2009,2009,4,,,,,0,594,521,36.03,37.17,1115
5/1/2009,2009,5,,,,,0,588,462,34.19,33.87,1050
6/1/2009,2009,6,,,,,0,633,417,34.4,35,1050
7/1/2009,2009,7,,,,,0,590,462,33.52,33.94,1052
8/1/2009,2009,8,,,,,0,613,459,34.32,34.58,1072
9/1/2009,2009,9,,,,,0,575,415,32.57,33,990
10/1/2009,2009,10,,,,,0,713,395,35.84,35.74,1108
11/1/2009,2009,11,,,,,0,684,393,35.57,35.9,1077
12/1/2009,2009,12,,,,,0,629,465,35.13,35.29,1094
1/1/2010,2010,1,,,,,0,629,484,35.84,35.9,1113
2/1/2010,2010,2,,,,,0,556,454,35.86,36.07,1010
3/1/2010,2010,3,,,,,0,616,525,36.55,36.81,1141
4/1/2010,2010,4,,,,,0,562,484,35.07,34.87,1046
5/1/2010,2010,5,,,,,0,601,468,34.03,34.48,1069
6/1/2010,2010,6,,,,,0,595,376,32.03,32.37,971
7/1/2010,2010,7,,,,,0,643,389,33.07,33.29,1032
8/1/2010,2010,8,,,,,0,648,373,32.97,32.93,1021
