,date,year,month,avail_slots,booked_slots,under91,91andover,91to107,107andover_neopnmx
0,2011-01-01,2011,1,,,466.0,708.0,,0.0
1,2011-02-01,2011,2,,,398.0,712.0,,0.0
2,2011-03-01,2011,3,,,521.0,702.0,,0.0
3,2011-04-01,2011,4,,,449.0,692.0,,0.0
4,2011-05-01,2011,5,,,459.0,648.0,,0.0
5,2011-06-01,2011,6,,,378.0,601.0,,0.0
6,2011-07-01,2011,7,,,387.0,639.0,,0.0
7,2011-08-01,2011,8,,,345.0,626.0,,0.0
8,2011-09-01,2011,9,,,342.0,645.0,,0.0
9,2011-10-01,2011,10,,,371.0,718.0,,0.0
10,2011-11-01,2011,11,,,329.0,727.0,,0.0
11,2011-12-01,2011,12,,,410.0,754.0,,0.0
12,2012-01-01,2012,1,,,436.0,759.0,,0.0
13,2012-02-01,2012,2,,,371.0,701.0,,0.0
14,2012-03-01,2012,3,,,399.0,667.0,,0.0
15,2012-04-01,2012,4,4.0,0.0,391.0,663.0,,0.0
16,2012-05-01,2012,5,1.0,0.0,344.0,690.0,,0.0
17,2012-06-01,2012,6,17.0,15.0,347.0,666.0,,0.0
18,2012-07-01,2012,7,2.0,0.0,352.0,702.0,,0.0
19,2012-08-01,2012,8,10.0,7.0,311.0,725.0,,0.0
20,2012-09-01,2012,9,0.0,0.0,322.0,706.0,,0.0
21,2012-10-01,2012,10,0.0,0.0,316.0,755.0,,0.0
22,2012-11-01,2012,11,0.0,0.0,320.0,711.0,,0.0
23,2012-12-01,2012,12,0.0,0.0,368.0,695.0,,0.0
24,2013-01-01,2013,1,3.0,0.0,373.0,680.0,,0.0
25,2013-02-01,2013,2,8.0,2.0,326.0,638.0,,0.0
26,2013-03-01,2013,3,2.0,0.0,375.0,664.0,,0.0
27,2013-04-01,2013,4,2.0,1.0,333.0,651.0,,0.0
28,2013-05-01,2013,5,15.0,8.0,316.0,667.0,,0.0
29,2013-06-01,2013,6,10.0,3.0,301.0,603.0,,0.0
30,2013-07-01,2013,7,13.0,5.0,299.0,662.0,,0.0
31,2013-09-01,2013,9,0.0,0.0,270.0,727.0,,0.0
32,2013-10-01,2013,10,12.0,1.0,248.0,741.0,,0.0
33,2013-11-01,2013,11,30.0,30.0,266.0,768.0,,0.0
34,2013-12-01,2013,12,23.0,16.0,341.0,766.0,,0.0
35,2014-01-01,2014,1,18.0,2.0,340.0,718.0,,0.0
36,2014-02-01,2014,2,11.0,2.0,277.0,682.0,,0.0
37,2014-03-01,2014,3,28.0,18.0,362.0,709.0,,0.0
38,2014-04-01,2014,4,14.0,3.0,298.0,679.0,,0.0
39,2014-05-01,2014,5,12.0,3.0,298.0,680.0,,0.0
40,2014-06-01,2014,6,2.0,0.0,272.0,616.0,,0.0
41,2014-07-01,2014,7,2.0,0.0,278.0,672.0,,0.0
42,2014-08-01,2014,8,6.0,5.0,255.0,678.0,,0.0
43,2015-01-01,2015,1,13.0,1.0,321.0,720.0,,0.0
44,2015-02-01,2015,2,20.0,8.0,304.0,674.0,,0.0
45,2015-03-01,2015,3,31.0,25.0,325.0,758.0,,0.0
46,2015-04-01,2015,4,29.0,24.0,303.0,746.0,,0.0
47,2015-05-01,2015,5,27.0,13.0,295.0,750.0,,0.0
48,2015-06-01,2015,6,19.0,6.0,266.0,724.0,,0.0
49,2015-07-01,2015,7,15.0,5.0,279.0,747.0,,0.0
50,2015-08-01,2015,8,19.0,8.0,268.0,774.0,,0.0
51,2015-09-01,2015,9,23.0,17.0,268.0,713.0,,0.0
52,2015-10-01,2015,10,31.0,31.0,266.0,781.0,,0.0
53,2015-11-01,2015,11,30.0,21.0,252.0,774.0,,0.0
54,2015-12-01,2015,12,20.0,9.0,307.0,722.0,,0.0
55,2016-01-01,2016,1,16.0,4.0,313.0,739.0,,0.0
56,2016-02-01,2016,2,18.0,6.0,303.0,674.0,,0.0
57,2016-03-01,2016,3,26.0,15.0,304.0,733.0,,0.0
58,2016-04-01,2016,4,11.0,2.0,286.0,663.0,,0.0
59,2016-05-01,2016,5,20.0,10.0,252.0,674.0,,0.0
60,2016-07-01,2016,7,2.0,1.0,221.0,666.0,,59.0
61,2016-08-01,2016,8,12.0,4.0,225.0,607.0,,76.0
62,2016-09-01,2016,9,4.0,2.0,227.0,,637.0,81.0
63,2017-03-01,2017,3,18.0,6.0,281.0,,631.0,159.0
64,2017-04-01,2017,4,8.0,3.0,237.0,,617.0,162.0
65,2017-05-01,2017,5,5.0,0.0,229.0,,591.0,170.0
66,2017-06-01,2017,6,5.0,1.0,186.0,,546.0,157.0
67,2017-07-01,2017,7,10.0,3.0,213.0,,641.0,163.0
68,2017-08-01,2017,8,17.0,10.0,205.0,,616.0,153.0
69,2017-10-01,2017,10,10.0,3.0,215.0,,656.0,184.0
70,2017-11-01,2017,11,5.0,3.0,216.0,,599.0,179.0
71,2017-12-01,2017,12,9.0,0.0,257.0,,594.0,196.0
72,2018-01-01,2018,1,7.0,1.0,258.0,,581.0,211.0
73,2018-02-01,2018,2,9.0,0.0,238.0,,516.0,187.0
74,2018-03-01,2018,3,11.0,4.0,272.0,,605.0,211.0
75,2018-04-01,2018,4,15.0,6.0,228.0,,600.0,186.0
76,2018-05-01,2018,5,16.0,10.0,233.0,,639.0,197.0
77,2018-06-01,2018,6,8.0,1.0,208.0,,546.0,201.0
78,2018-07-01,2018,7,1.0,0.0,192.0,,573.0,233.0
79,2018-08-01,2018,8,13.0,5.0,209.0,,566.0,230.0
80,2018-09-01,2018,9,3.0,0.0,208.0,,555.0,229.0
81,2018-10-01,2018,10,4.0,0.0,228.0,,590.0,228.0
